en,Team Name,Team Captain Discord Username(s),Rostered Player 1 Discord Username,Rostered Player 1 Overstat Link,Rostered Player 1 In-Game-Name (this needs to be the same for every match day),Rostered Player 2 Discord Username,Rostered Player 2 Overstat Link,Rostered Player 2 In-Game-Name (this needs to be the same for every match day),Rostered Player 3 Discord Username,Rostered Player 3 Overstat Link,Rostered Player 3 In-Game-Name (this needs to be the same for every match day),Have you and your teammates played in Void Apex leagues before? (this does not include scrims/community events),How familiar is your team with competitive apex?,What is the average rank of your team?,What platform does your team play on?,,
27/03/2025 00:15:41,Crashing Out,Oshe,Oshe,https://overstat.gg/player/1621070.GRO%20Oshe/overview,Oshe,MuchMixture9,https://overstat.gg/player/925826/overview,Muchmixture9,jogo195,https://overstat.gg/player/1835064/overview,Hobojo,"Yes, all 3 have",4,Diamond,All PC,,
27/03/2025 06:09:10,Scrub Squad,FreeMelee,FreeMelee,i do not have it i’m on mobile i’ll submit a ticket with it,FreeMelee,Fizzy000,i do not have it i’m on mobile i’ll submit a ticket with it,Fizzy000,Blue,i do not have it i’m on mobile i’ll submit a ticket with it,WaluigiMangione,"Yes, all 3 have",5,Gold,All PC,,
27/03/2025 07:27:19,St.Nessie,PattyOwO,Patty,https://overstat.gg/player/1491102/overview,[Coach]Ikyuui,olegthebigegg,https://overstat.gg/player/1962651.Hexed_Pickle/overview,Hexed_Pickle,Sourchickn,https://overstat.gg/player/3913203.Sourchickn/overview,Sourchickn,None of us have played in the void leagues before,3,Platinum,"Some PC, some console",,
27/03/2025 07:38:37,Over Rotated ,Brady-vision,Brady-vision,https://overstat.gg/player/1621033/overview,Brady-vision,DirtyVerdy ,https://overstat.gg/player/3349114.DirtyVerdy_/overview,DirtyVerdy ,Justtamir ,https://overstat.gg/player/2556530/overview,JustTam1r-TTV,"Yes, all 3 have",5,Gold,"Some PC, some console",,
27/03/2025 08:03:01,Dire Wolves,UselessRoyalty,UselessRoyalty,https://overstat.gg/player/41188.EVN_UselessRoyalty/overview,EVN_UselessRoyalty,SloFoFunk,https://overstat.gg/player/3869345/overview,Oh Funk,remydees,https://overstat.gg/player/2087235.EVN_remydees/overview,EVN_remydees,"2 of us have, 1 has not",4,Platinum,All PC,,
27/03/2025 08:11:41,Goblin Gang,ChefMike,ChefMike,https://overstat.gg/player/1374032.ChefMike/overview,ChefMike,Chermy,https://overstat.gg/player/1566063/overview,Cherm,Explosive Soda,https://overstat.gg/player/775129/overview,AngryS0da,"Yes, all 3 have",3,Platinum,"Some PC, some console",,
27/03/2025 09:18:34,Good Buds,Redfeatherkid ,Redfeatherkid,https://overstat.gg/player/3371269.RedFeatherKid/overview,Redfeatherkid ,Woolydanith,https://overstat.gg/player/3371268.Woolydanith/overview,Woolydanith,Gorndom,https://overstat.gg/player/3371267.BR%20Mafioso/overview,BR Mafioso,"Yes, all 3 have",4,Platinum,"Some PC, some console",,
27/03/2025 09:39:17,DMG Pheonix,@cjsmoove05,@cjsmoove05,https://overstat.gg/player/189343.TTV-Cjsmoove05/overview,Cjsmoove05,@Ranger,https://overstat.gg/player/1345366.Ranger/overview,Ranger,@crow_8195,https://overstat.gg/player/1507235.CrowthePepega/overview,Crow thePepega |Twitch,"1 of us has, 2 have not",4,Masters,All PC,,
27/03/2025 10:29:52,soon,.offkilter,.offkilter,https://overstat.gg/player/2716556/overview,offkilter,Romyc187,https://overstat.gg/player/3394211.@RomyC187/overview,@romyc187,Kfrosjenner,https://overstat.gg/player/2716557/overview,KfroJenner69,"2 of us have, 1 has not",4,Diamond,All PC,,
27/03/2025 10:38:10,Vanity.999,Drkrst ,Drkrst,https://overstat.gg/player/439325.drkrst/overview,Drkrst,Retreat ,https://overstat.gg/player/213433.xoRetreat/overview,Retreat,Soda,https://overstat.gg/player/247643.Soda/overview,Soda,None of us have played in the void leagues before,5,Diamond,"Some PC, some console",,
