Rank,Player Name,Combined Rating,Seasons Played,S8 Rating,S11 Rating,S12 Rating,Consistency Bonus %,Division Avg Score,All Names Used
236,sX_ItsNick,59.47,S12+S8,120.00,,64.40,5,4.0,"sX_ItsNick, RG_ItsNick"
237,x_howdie_x,59.26,S12+S8,181.00,,48.82,5,3.0,x_howdie_x
238,DASLEDGEHAMMER,59.12,S11+S12,,127.40,32.60,15,7.5,DASLEDGEHAMMER
239,MoistKnight2443,58.88,S12+S8,181.00,,48.22,5,3.0,MoistKnight2443
240,Pen5guin,58.13,S11,,172.25,,35,9.0,Pen5guin
241,BobbyBooshayy,58.13,S12+S8,176.00,,44.08,10,5.0,BobbyBooshayy
242,Heuman au TELEMANUS,57.67,S11+S12,,125.45,31.31,15,7.0,"Heuman au TELEMANUS, TheHeuman"
243,VerdunkeIn,57.60,S12,,,87.28,10,6.0,VerdunkeIn
244,Revy2hands,57.47,S12,,,87.07,10,5.0,Revy2hands
245,Saki :D,57.26,S12+S8,225.00,,34.63,5,3.0,"Saki <3, Saki :D"
246,RH_JetWatt,57.13,S12,,,90.69,5,4.0,RH_JetWatt
247,A_Fox_With_Sox,57.05,S12+S8,114.00,,62.06,5,3.0,A_Fox_With_Sox
248,Targettt,56.86,S12,,,70.20,35,10.0,Targettt
249,SilentRyft,56.82,S11,,168.35,,35,9.0,SilentRyft
250,BlueGreek,56.72,S12,,,85.94,10,5.0,BlueGreek
251,Supreme,56.70,S12+S8,119.00,,56.15,10,5.0,Supreme
252,winterdeadeye23,56.67,S11+S12+S8,180.00,9.10,37.07,10,5.5,"TH | winterdeadeye, winterdeadeye23"
253,Bolbi Stroganovsky,56.46,S12+S8,149.00,,48.30,10,5.0,Bolbi Stroganovsky
254,F5|GsQ BloomDion,56.38,S11,,167.05,,35,9.0,F5|GsQ BloomDion
255,MediumSpeedTyper,56.23,S12,,,85.20,10,6.0,MediumSpeedTyper
256,Kiuv,56.21,S12,,,85.16,10,6.0,Kiuv
257,Shara-Ishvaldaa,56.17,S12,,,85.11,10,6.0,Shara-Ishvaldaa
258,Karnivorrr,56.10,S12+S8,172.00,,41.99,10,5.0,Karnivorrr
259,ItsDolonia,55.97,S12,,,84.81,10,6.0,ItsDolonia
260,Angxelah,55.86,S11+S12+S8,111.00,32.50,43.34,10,5.5,"Eclipsie13, Angxelah"
261,Memento Mori,55.03,S12,,,83.37,10,5.0,Memento Mori
262,Frijol3s03,54.83,S12,,,83.07,10,5.0,Frijol3s03
263,kadengibbs,54.81,S12,,,79.43,15,8.0,kadengibbs
264,blight77,54.71,S12,,,79.29,15,8.0,blight77
265,SantaKlaus,54.16,S12+S8,96.00,,58.06,10,6.0,"SantaKlaus, FSC | SantaKlaus"
266,ItzClockwork,53.55,S12,,,81.14,10,5.0,ItzClockwork
267,car,53.54,S12,,,81.13,10,6.0,car
