Rank,Team Name,Team Rating,Tier,Player 1,Player 2,Player 3,P1 Rating,P2 Rating,P3 Rating
47,Pink Pony Club,68.73,C,SoleSky,Phokkyu,Potter,99.48,45.09,61.63
48,happy2behere,68.19,C,TheMauFactor,@goodlookingsean,RaptureIsland,80.89,76.52,47.17
49,Fearsome Foursome,67.86,C,The Corrupt Teacher,DmanLOC,mereoleona._.,63.20,60.40,80.00
50,OMPA,67.77,C,BobbyBooshayy,Patback,NitrousSaturn49,43.31,80.00,80.00
51,4funski,67.36,C,Evl999,hyper o7웃,shadydreams,80.00,42.08,80.00
52,NESSIES FOR YOU,65.77,C,WillakaTree,angxelah,canadiansyrup__,80.00,37.32,80.00
53,3 Hearts Smile,65.65,C,Haki,m2,Nedlock,83.47,33.48,80.00
54,66TH ORDER OF MOTL,65.37,C,FairestOne617,Astris86,PZ3A,95.35,68.81,31.96
55,Focus,64.93,C,Saybee,pottedplamnt,car1247,34.79,80.00,80.00
56,MeeHoyyMinoyy,64.67,C,MrBr0jangles05,Sawabawa,vHazel,80.00,80.00,34.01
57,Titan Holo,64.53,C,kane.,spillsauce,Beez,33.60,80.00,80.00
58,New Alliance,64.24,C,ZeroGLHF,est3fy,federico0990,40.33,72.39,80.00
59,X-ELEMENT,62.74,C,XEL iklipsa,XEL Decimation,VENGER_YT,57.37,58.98,71.86
60,Tiny Timmys,62.53,C,StoneSpy946,Denk Jenkinson,JokingScarab65,77.80,36.18,73.60
61,FCKU2,61.23,C,bradyvision,jhelly,ivionty,89.94,80.00,13.76
62,Gaming Uncles,60.83,C,ssjninja201,thunderrsleeps,inoriboob,80.00,80.00,22.50
63,Solstice,60.62,C,thunderstruk,imsh1ny,imysticvortex,80.00,73.04,28.81
64,The Yacht Motel,59.99,D,BlueGreek,1cry_babe,huckleberry2319,19.97,80.00,80.00
65,T2G Esports,59.48,D,triplcross,bruinsfan4022,spike4728,18.44,80.00,80.00
66,Cream Team,59.40,D,Twelvegage,Supreme,Impish,83.72,54.52,39.96
67,Jedi Mind Tricks,58.70,D,MrrrAndersonnn,depravedwizzard,drdtheinevitable,16.11,80.00,80.00
68,Apex Tee-Ball Team #1,58.15,D,apogaeon,DANimal,Ghostface955,14.45,80.00,80.00
69,GRIZZLY,57.95,D,CJtoSmooth,tfairo,dalla588,13.86,80.00,80.00
70,The Wave,57.59,D,Stinkerson,tsfmonty,l3otox,17.05,75.73,80.00
71,Renaissance,56.77,D,poolllllllll,FEYD RAUTHA,YoJokerz,69.48,20.82,80.00
72,8th Gate,56.72,D,@cletesensei,StoneyBalogna,sadraichu,10.16,80.00,80.00
73,OV-HO's,56.37,D,Frank Newcastle (EclipseEh),OniHeishi,TommyFronto,80.00,80.00,9.12
74,2 Mice 1 Rat,55.68,D,Double_take,josizino,benjihim,80.00,7.03,80.00
75,BoysNightOut,55.55,D,KindlyMonkey,BNO_Meepmoe6,addedayo,113.86,26.97,25.82
76,Maet Xepa,55.15,D,find0utt_TTV,GraffixFPS,zewski,80.98,73.91,10.57
77,Beaver Blasters,54.78,D,Jsmoove90,OE_remydees,Tzunomi,80.00,4.35,80.00
78,Spawned,54.74,D,.stoof_,tyreheat,theonewithnobullets,80.00,4.23,80.00
79,Pekotitlan,54.38,D,Keko75FTW,Nilak,Almanymede,38.44,20.24,104.46
80,Moirai Esports,54.37,D,littlehj555,SirNaughty1,Queen_Nessie,80.00,69.51,13.61
81,Powerpuff Girls,54.33,D,Sydney,itsDolonia,Sleepy,30.52,20.72,111.74
82,Cleveland Forge,53.82,D,DWE Mango,Teachdayouth28,DWE Parcifal,56.21,46.05,59.19
83,Noble Esports,53.65,D,Matthew_Moose,Trtle,joaqie,80.00,80.00,0.95
84,TBD,53.37,D,Snozizzle,LuiBeans,iXM1kos,37.64,42.47,80.00
85,Xzile Esports,53.20,D,kaynun,spetzmg,firedragon,47.33,80.00,32.26
86,THR333 AMIGOS,53.00,D,x_howdie_x,snowyday,luke304,43.71,35.31,80.00
87,WannaBees,51.40,D,iitznthan,lilderpyy,@WB_Killua,80.00,28.24,45.95
88,Los Pollos Hermanos,50.93,D,TH | winterdeadeye,imCBITS,ZorraAssassin,84.07,48.86,19.86
89,Casual Gooning,50.86,D,CG BilliardHorn,Mootzel,@ArtemisGG_,45.38,54.90,52.28
90,Est Mango Mafia,50.44,D,BIG xhander,EST Wattzz,Mango Burger,57.28,64.70,29.34
91,Mike's Chill Summer,50.17,D,ChefMike,chill guy kien,SummerLaneGG,87.77,52.35,10.40
92,SHORK,49.99,D,oalios,Eemmccyy,swagmillion,100.21,24.01,25.76
93,Ho Ho Headshots,49.52,D,xJusGavx,bookworm669,santaklaus2003,55.12,13.42,80.00
94,Stargazers,47.64,D,blujay._,Unix IRL,envyxskillet,25.40,88.34,29.18
95,Temple University,47.49,D,Siimmplicity,smartgaming,rushdash,29.19,80.00,33.26
96,Icarus,46.28,D,shmovinonya,cashflow,JustTrea,28.38,30.46,80.00
97,Rabid,46.05,D,RBD Toonz,Hound,Tphilly,22.96,35.20,80.00
98,Revive and Repeat,45.42,D,Hurt,TakeitEezy,siyoshiwakona,41.65,80.00,14.63
99,PHOnomenal,44.32,D,Gible,alphabet,Monka,23.68,29.28,80.00
100,For The Boys,43.52,D,FTB | SliceofJAO,FTB | steph,FTB | Hunkulesss,40.14,40.30,50.10
101,Man or Mouse,43.51,D,mcdonaldsworker8,Culltures,Ttsugi,43.26,50.07,37.19
102,BERZERKER,42.96,D,HIKARI @Pann9a,.cleos,stxvnie,25.24,80.00,23.63
103,Fearnotz,42.39,D,Saki <3,AddaxV4-_-,DaS8157,50.75,15.85,60.55
104,Geriatric Reflexes,42.19,D,Enderphor,EagleUSA,Sithopher,45.39,45.57,35.61
105,Outcasts,40.36,D,Xyrosec,xireq,Cyferzn,59.62,9.14,52.32
106,IggyBiggies,39.70,D,虎Tiger,Meme,nVRequiem,22.35,16.75,80.00
107,Last Chance,38.62,D,OvP Diablo,shxde,cxedt,30.46,34.46,50.95
108,The Backyard,38.42,D,ehayes121,MoistKnight2443,Bsteph13,54.47,56.91,3.89
109,Cartel,37.74,D,yumisyzygy,algunangel,g4rhamza,17.31,15.91,80.00
110,BaM,37.06,D,iiRonnoc,BaM_Clutch,Reavor,50.30,43.86,17.02
111,Loser Gang,36.49,D,MyrtleSquirtle,Becka,A_MF_Queen,34.01,42.41,33.07
112,Wagon station,35.84,D,JuiceboxSlays (washed),AverageDrae,StingraySlapper,59.24,32.64,15.66
113,Wallie Warriors,35.55,D,ebokfps,harmo,AngelB,14.93,11.71,80.00
114,LAM,34.14,D,k_wal8,chalinosanchez,riverdragonz,9.60,80.00,12.82
115,norf norf,34.01,D,delli,@rbv_sk8ter,Galahad,30.79,35.62,35.62
116,Hunting Chuds Bungus,33.90,D,BungusElite,Raz,Huntingfool,40.94,46.78,13.98
117,Feint,33.52,D,faust_aka_furux,Trenzhart,negativerush,42.97,16.01,41.59
118,LNC,32.97,D,jo_morales7,XI PuGz,Oniplayr,27.15,22.07,49.68
119,Gravity,32.08,D,Viridae,Cono,Revy2Hands,48.59,15.04,32.63
120,El Drip,31.86,D,DRIP_ItsShunny,CapybarasGoRAWRR,DRIP_itsyoboigothy,19.83,44.18,31.58
121,Last Place Secured,31.61,D,AG Shoya,///baeV,cookiebagels,14.07,54.09,26.67
122,Baked Goods,31.24,D,JEK,MayBPh8L,BakedPotato1213,52.55,18.49,22.69
123,HRD,30.78,D,Rvo,DEKTA_TTV,ha7ch,30.17,20.74,41.44
124,Delirium,30.47,D,Elyruis,IDKTThomas,Red_husky,5.71,5.71,80.00
125,ACU Esports,29.89,D,ADPT Tdobzz,alexinithegenie,micahiscooyt,5.53,80.00,4.13
126,The Misfits,28.69,D,eR4Ticate13,A_Fox_With_Sox,lonewolf4114,28.18,34.55,23.35
127,MOTL CONSOLE,28.66,D,MOTL DduckyG,l Belfour l20l,Plaiqu,66.00,16.02,3.95
128,Strike X,27.03,D,sX_ItsNick,sX Adam1003,Chillzz-v4,36.56,32.36,12.16
129,Plus Ultra,26.57,D,@imJhoKing,DizzyJavi,@benjahhim,21.02,38.85,19.84
130,Purple Cobras,26.48,D,Kbertabifida,Doormatt,PeezleJuice,27.16,18.10,34.16
131,OHH GUARDIAN,25.91,D,Kiuv,kevin nguyen,Ghyst,25.37,31.81,20.54
132,Thought it was safe,24.30,D,ZonkyWonky,Dycoral,CubanoBread,30.84,28.04,14.04
133,Dino Nugs,23.72,D,ayla,Tay_aka_Tyr,ClarkGriswold,28.02,21.58,21.58
134,FALN Esports,23.71,D,Miriahkay19,FALN | JohnnyK,FALN | Stats,14.16,27.26,29.70
135,Straw Hats,23.61,D,KhaoticYang,TTV | TripleThreatG75,Yin Slayys,26.88,31.08,12.88
136,Triple Threat,23.30,D,Utterword,Xiph,GASPITZBLESD,32.83,13.89,23.17
137,Brownies,22.91,D,cherm,xSetrakusRa,funsizednenax3,41.59,19.15,7.99
138,i see how it is,20.96,D,i miss her (arenas),Zendikar,Heishi,24.23,25.63,13.03
139,High Tide Ladies,20.09,D,HTL Keosha,Krit,SwiftieC,25.35,29.55,5.37
140,DucK1ng Loko,19.50,D,K1ng13east,Interstellar Duck,EMB Loko,35.64,10.71,12.16
141,Wiggs ball sweat,18.96,D,yoosmik,slap,stefq_,28.94,11.55,16.38
142,The Royal Knights,18.50,D,MrNachoman,kadengibbs,graingerous,23.77,20.97,10.75
143,TGUN,18.47,D,TGUN_Trivial,TGUN_Turtle,TGUN_Boop,7.78,30.06,17.58
144,Turbo Shandy,17.12,D,WhySoSweatyy,SPLITBOMB33V2,JRobx,27.85,11.05,12.45
145,Sakura,16.80,D,kyuuWar,Sangre2Day,WickedArcher,17.73,23.33,9.33
146,RH Esports,11.74,D,L0D Death Wulf,JetWatt,nathanbradley54,7.84,20.68,6.71
147,Ardor Impact,11.67,D,AI Conger,AI JoJoi,Biomains,13.54,12.14,9.34
148,NordikSyncUniverse,10.45,D,SUA_Idle,SU L3Punk,RayJi,12.79,9.99,8.59
149,Mavericks,9.90,D,Leadoffplague,iamZalzar,WhiffySkate | From Home Depot |,13.66,10.44,5.61
150,Motion,9.90,D,xxDaji,@NotBrooklynn,andra ∞,12.23,10.83,6.63
151,Reales,9.22,D,Gachu,hcmeeks,camaleonrosado,12.95,11.55,3.15
152,Karasuno,8.74,D,@SonnyD_,MannyFnG,ygphiend,12.48,6.88,6.88
153,Apexolotls,7.22,D,Jubella,TexasTrash9,Greywaren99,5.00,15.87,0.80
154,The BooBees,5.66,D,StonyBolognaa | Twitch,kit_katt52,LilMissGallop,4.08,0.44,12.48
155,GOM Squad,5.33,D,Phuzzapa,Flanksteak,RageKage,7.84,1.73,6.44
156,Chill guys,3.19,D,HoodieAnimal,BABYJOKWR,CSG-HOIIOW,0.91,5.23,3.42
